# Call transcript — started 2026-06-05T21:30:22.602157
# Call ID: d3924e54

[21:31:25] BOT: or
[21:31:25] BOT: takeaway?
[21:31:38] USER: Large mediam pizza. large pizza.
[21:31:40] BOT: Sure!
[21:31:40] BOT: You
[21:31:40] BOT: would
[21:31:40] BOT: like
[21:31:40] BOT: one
[21:31:40] BOT: Large
[21:31:40] BOT: pizza
[21:31:40] BOT: and
[21:31:40] BOT: one
[21:31:40] BOT: Zinger
[21:31:40] BOT: Burger.
[21:31:40] BOT: Here
[21:31:40] BOT: is
[21:31:40] BOT: a
[21:31:40] BOT: quick
[21:31:40] BOT: breakdown
[21:31:40] BOT: of
[21:31:40] BOT: the
[21:31:40] BOT: cost:
-
[21:31:40] BOT: Large
[21:31:40] BOT: Pizza:
[21:31:40] BOT: two
[21:31:40] BOT: thousand
[21:31:40] BOT: two
[21:31:40] BOT: hundred
[21:31:40] BOT: rupees
-
[21:31:40] BOT: Zinger
[21:31:40] BOT: Burger:
[21:31:40] BOT: eight
[21:31:40] BOT: hundred
[21:31:40] BOT: fifty
[21:31:40] BOT: rupees

The
[21:31:40] BOT: subtotal
[21:31:40] BOT: will
[21:31:40] BOT: be
[21:31:40] BOT: three
[21:31:40] BOT: thousand
[21:31:40] BOT: fifty
[21:31:40] BOT: rupees.
[21:31:40] BOT: Could
[21:31:40] BOT: you
[21:31:40] BOT: please
[21:31:40] BOT: share
[21:31:40] BOT: your
[21:31:40] BOT: name
[21:31:40] BOT: and
[21:31:40] BOT: phone
[21:31:40] BOT: number
[21:31:40] BOT: for
[21:31:40] BOT: confirmation?
[21:32:07] USER: And also adding one cold drink.
[21:32:09] BOT: Great!
[21:32:09] BOT: Adding
[21:32:09] BOT: one
[21:32:09] BOT: cold
[21:32:09] BOT: drink
[21:32:09] BOT: for
[21:32:09] BOT: you.
[21:32:09] BOT: The
[21:32:09] BOT: cost
[21:32:09] BOT: will
[21:32:09] BOT: be
[21:32:09] BOT: three
[21:32:09] BOT: hundred
[21:32:09] BOT: rupees.
[21:32:10] BOT: Here's
[21:32:10] BOT: an
[21:32:10] BOT: updated
[21:32:10] BOT: breakdown:
-
[21:32:10] BOT: Large
[21:32:10] BOT: Pizza:
[21:32:10] BOT: two
[21:32:10] BOT: thousand
[21:32:10] BOT: two
[21:32:10] BOT: hundred
[21:32:10] BOT: rupees
-
[21:32:10] BOT: Zinger
[21:32:10] BOT: Burger:
[21:32:10] BOT: eight
[21:32:10] BOT: hundred
[21:32:10] BOT: fifty
[21:32:10] BOT: rupees
-
[21:32:10] BOT: Cold
[21:32:10] BOT: Drink:
[21:32:10] BOT: three
[21:32:10] BOT: hundred
[21:32:10] BOT: rupees

The
[21:32:10] BOT: new
[21:32:10] BOT: subtotal
[21:32:10] BOT: is
[21:32:10] BOT: three
[21:32:10] BOT: thousand
[21:32:10] BOT: three
[21:32:10] BOT: hundred
[21:32:10] BOT: fifty
[21:32:10] BOT: rupees.
[21:32:10] BOT: Could
[21:32:10] BOT: you
[21:32:10] BOT: please
[21:32:10] BOT: provide
[21:32:10] BOT: your
[21:32:10] BOT: name
[21:32:10] BOT: and
[21:32:10] BOT: preferred
[21:32:10] BOT: payment
[21:32:10] BOT: method?
[21:32:47] USER: My name is Mohammad Hashir and I want a payment method.
[21:32:49] BOT: Thank
[21:32:49] BOT: you,
[21:32:49] BOT: Mohammad
[21:32:49] BOT: Hashir.
[21:32:49] BOT: Please
[21:32:49] BOT: let
[21:32:49] BOT: me
[21:32:49] BOT: know
[21:32:49] BOT: which
[21:32:49] BOT: payment
[21:32:49] BOT: method
[21:32:49] BOT: you
[21:32:49] BOT: would
[21:32:49] BOT: like
[21:32:49] BOT: to
[21:32:49] BOT: use:
[21:32:49] BOT: cash
[21:32:49] BOT: or
[21:32:49] BOT: card?
[21:33:01] USER: Yes, yes.
[21:33:03] BOT: Just
[21:33:03] BOT: to
[21:33:03] BOT: confirm,
[21:33:03] BOT: would
[21:33:03] BOT: you
[21:33:03] BOT: prefer
[21:33:03] BOT: to
[21:33:03] BOT: pay
[21:33:03] BOT: with
[21:33:03] BOT: cash
[21:33:03] BOT: or
[21:33:03] BOT: by
[21:33:03] BOT: card?
[21:33:16] USER: I will do a pendant.
[21:33:17] BOT: No
[21:33:17] BOT: problem.
[21:33:17] BOT: Once
[21:33:17] BOT: your
[21:33:17] BOT: order
[21:33:17] BOT: arrives,
[21:33:17] BOT: you
[21:33:17] BOT: can
[21:33:17] BOT: make
[21:33:17] BOT: the
[21:33:17] BOT: payment.
[21:33:18] BOT: What
[21:33:18] BOT: type
[21:33:18] BOT: of
[21:33:18] BOT: order
[21:33:18] BOT: would
[21:33:18] BOT: you
[21:33:18] BOT: prefer:
[21:33:18] BOT: delivery
[21:33:18] BOT: or
[21:33:18] BOT: pickup?
[21:33:35] USER: I am on a delivery.
[21:33:38] BOT: Thank
[21:33:38] BOT: you
[21:33:38] BOT: for
[21:33:38] BOT: choosing
[21:33:38] BOT: delivery.
[21:33:38] BOT: Could
[21:33:38] BOT: you
[21:33:38] BOT: please
[21:33:38] BOT: provide
[21:33:38] BOT: your
[21:33:38] BOT: delivery
[21:33:38] BOT: address?
[21:33:38] BOT: Also,
[21:33:38] BOT: may
[21:33:38] BOT: I
[21:33:38] BOT: have
[21:33:38] BOT: your
[21:33:38] BOT: phone
[21:33:38] BOT: number
[21:33:38] BOT: to
[21:33:38] BOT: ensure
[21:33:38] BOT: smooth
[21:33:38] BOT: delivery?
[21:33:54] USER: There are Mr. Road for interested レクテラ。
[21:33:56] BOT: Thank
[21:33:56] BOT: you
[21:33:56] BOT: for
[21:33:56] BOT: providing
[21:33:56] BOT: your
[21:33:56] BOT: delivery
[21:33:56] BOT: address.
[21:33:56] BOT: Could
[21:33:56] BOT: you
[21:33:56] BOT: please
[21:33:56] BOT: confirm
[21:33:56] BOT: your
[21:33:56] BOT: phone
[21:33:56] BOT: number
[21:33:56] BOT: for
[21:33:56] BOT: the
[21:33:56] BOT: order?
[21:34:09] USER: The phone number is 03-242834.
[21:34:11] BOT: Could
[21:34:11] BOT: you
[21:34:11] BOT: please
[21:34:11] BOT: confirm
[21:34:11] BOT: the
[21:34:11] BOT: last
[21:34:11] BOT: three
[21:34:11] BOT: digits
[21:34:11] BOT: of
[21:34:11] BOT: your
[21:34:11] BOT: phone
[21:34:11] BOT: number?
[21:34:11] BOT: It
[21:34:11] BOT: seems
[21:34:11] BOT: incomplete.
[21:34:22] USER: 400.
[21:34:26] BOT: Thank
[21:34:26] BOT: you!
[21:34:26] BOT: Your
[21:34:26] BOT: complete
[21:34:26] BOT: phone
[21:34:26] BOT: number
[21:34:26] BOT: is
[21:34:26] BOT: zero
[21:34:26] BOT: three
[21:34:26] BOT: two
[21:34:26] BOT: four
[21:34:26] BOT: four
[21:34:26] BOT: two
[21:34:26] BOT: eight
[21:34:26] BOT: three
[21:34:26] BOT: four
[21:34:26] BOT: zero
[21:34:26] BOT: zero.
[21:34:27] BOT: Your
[21:34:27] BOT: order
[21:34:27] BOT: summary:
-
[21:34:27] BOT: **Large
[21:34:27] BOT: Pizza**:
[21:34:27] BOT: Two
[21:34:27] BOT: thousand
[21:34:27] BOT: two
[21:34:27] BOT: hundred
[21:34:27] BOT: rupees
-
[21:34:27] BOT: **Zinger
[21:34:27] BOT: Burger**:
[21:34:27] BOT: Eight
[21:34:27] BOT: hundred
[21:34:27] BOT: fifty
[21:34:27] BOT: rupees
-
[21:34:27] BOT: **Cold
[21:34:27] BOT: Drink**:
[21:34:27] BOT: Three
[21:34:27] BOT: hundred
[21:34:27] BOT: rupees

**Subtotal**:
[21:34:27] BOT: Three
[21:34:27] BOT: thousand
[21:34:27] BOT: three
[21:34:27] BOT: hundred
[21:34:27] BOT: fifty
[21:34:27] BOT: rupees.
[21:34:27] BOT: **Payment
[21:34:27] BOT: Method**:
[21:34:27] BOT: Cash
[21:34:27] BOT: on
[21:34:27] BOT: delivery.
[21:34:27] BOT: **Delivery
[21:34:27] BOT: Address**:
[21:34:27] BOT: Mr.
[21:34:27] BOT: Road
[21:34:27] BOT: for
[21:34:27] BOT: interested
[21:34:27] BOT: レクテラ.
[21:34:27] BOT: **Name**:
[21:34:27] BOT: Mohammad
[21:34:27] BOT: Hashir.
[21:34:28] BOT: Could
[21:34:28] BOT: you
[21:34:28] BOT: please
[21:34:28] BOT: tell
[21:34:28] BOT: me
[21:34:28] BOT: if
[21:34:28] BOT: you
[21:34:28] BOT: have
[21:34:28] BOT: any
[21:34:28] BOT: special
[21:34:28] BOT: instructions
[21:34:28] BOT: for
[21:34:28] BOT: your
[21:34:28] BOT: order?
[21:35:05] USER: Okay Thank you for your... Please confirm the order.
[21:35:14] BOT: Of
[21:35:14] BOT: course,
[21:35:14] BOT: here's
[21:35:14] BOT: your
[21:35:14] BOT: order
[21:35:14] BOT: summary:

-
[21:35:14] BOT: **One
[21:35:14] BOT: Large
[21:35:14] BOT: Pizza**:
[21:35:14] BOT: Two
[21:35:14] BOT: thousand
[21:35:14] BOT: two
[21:35:14] BOT: hundred
[21:35:14] BOT: rupees
-
[21:35:14] BOT: **One
[21:35:15] BOT: Zinger
[21:35:15] BOT: Burger**:
[21:35:15] BOT: Eight
[21:35:15] BOT: hundred
[21:35:15] BOT: fifty
[21:35:15] BOT: rupees
-
[21:35:15] BOT: **One
[21:35:15] BOT: Cold
[21:35:15] BOT: Drink**:
[21:35:15] BOT: Three
[21:35:15] BOT: hundred
[21:35:15] BOT: rupees

**Subtotal**:
[21:35:15] BOT: Three
[21:35:15] BOT: thousand
[21:35:15] BOT: three
[21:35:15] BOT: hundred
[21:35:15] BOT: fifty
[21:35:15] BOT: rupees
[21:35:15] BOT: **Delivery
[21:35:15] BOT: Charges**:
[21:35:15] BOT: Two
[21:35:15] BOT: hundred
[21:35:15] BOT: rupees
[21:35:15] BOT: **Total
[21:35:16] BOT: Amount**:
[21:35:16] BOT: Three
[21:35:16] BOT: thousand
[21:35:16] BOT: five
[21:35:16] BOT: hundred
[21:35:16] BOT: fifty
[21:35:16] BOT: rupees
[21:35:16] BOT: **Payment
[21:35:16] BOT: Method**:
[21:35:16] BOT: Cash
[21:35:16] BOT: on
[21:35:16] BOT: delivery
[21:35:16] BOT: **Delivery
[21:35:16] BOT: Address**:
[21:35:16] BOT: Mr.
[21:35:16] BOT: Road
[21:35:16] BOT: for
[21:35:16] BOT: interested
[21:35:16] BOT: **Phone
[21:35:16] BOT: Number**:
[21:35:16] BOT: Zero
[21:35:16] BOT: three
[21:35:16] BOT: two
[21:35:16] BOT: four
[21:35:16] BOT: four
[21:35:16] BOT: two
[21:35:16] BOT: eight
[21:35:16] BOT: three
[21:35:16] BOT: four
[21:35:16] BOT: zero
[21:35:16] BOT: zero
[21:35:16] BOT: Your
[21:35:16] BOT: order
[21:35:16] BOT: will
[21:35:16] BOT: be
[21:35:16] BOT: delivered
[21:35:16] BOT: soon.
[21:35:16] BOT: Are
[21:35:16] BOT: there
[21:35:16] BOT: any
[21:35:16] BOT: special
[21:35:16] BOT: instructions
[21:35:16] BOT: you
[21:35:16] BOT: would
[21:35:16] BOT: like
[21:35:16] BOT: to
[21:35:16] BOT: add?
[21:35:29] USER: I know what mortgage is, thank you.
[21:35:33] BOT: Your
[21:35:33] BOT: order
[21:35:33] BOT: has
[21:35:33] BOT: been
[21:35:33] BOT: confirmed:
-
[21:35:33] BOT: **One
[21:35:33] BOT: Large
[21:35:33] BOT: Pizza**:
[21:35:33] BOT: Two
[21:35:33] BOT: two
[21:35:33] BOT: rupees
-
[21:35:33] BOT: **One
[21:35:33] BOT: Zinger
[21:35:33] BOT: Burger**:
[21:35:33] BOT: Eight
[21:35:33] BOT: hundred
[21:35:33] BOT: rupees
-
[21:35:33] BOT: **One
[21:35:33] BOT: Cold
[21:35:33] BOT: Drink**:
[21:35:33] BOT: Three
[21:35:33] BOT: hundred
[21:35:33] BOT: rupees

**Subtotal**:
[21:35:33] BOT: Three
[21:35:33] BOT: thousand
[21:35:33] BOT: three
[21:35:34] BOT: hundred
[21:35:34] BOT: fifty
[21:35:34] BOT: rupees
[21:35:34] BOT: **Payment
[21:35:34] BOT: Method**:
[21:35:34] BOT: Cash
[21:35:34] BOT: on
[21:35:34] BOT: delivery
[21:35:34] BOT: **Delivery
[21:35:34] BOT: Address**:
[21:35:34] BOT: Garden
[21:35:34] BOT: West
[21:35:34] BOT: Nishter
[21:35:34] BOT: Road
[21:35:34] BOT: **Phone
[21:35:34] BOT: Number**:
[21:35:34] BOT: zero
[21:35:34] BOT: three
[21:35:34] BOT: two
[21:35:34] BOT: four
[21:35:34] BOT: four
[21:35:34] BOT: two
[21:35:34] BOT: eight
[21:35:34] BOT: three
[21:35:34] BOT: four
[21:35:34] BOT: zero
[21:35:34] BOT: zero
[21:35:34] BOT: Your
[21:35:34] BOT: order
[21:35:34] BOT: will
[21:35:34] BOT: be
[21:35:34] BOT: delivered
[21:35:34] BOT: shortly.
[21:35:34] BOT: Thank
[21:35:34] BOT: you
[21:35:34] BOT: for
[21:35:34] BOT: ordering
[21:35:34] BOT: with
[21:35:34] BOT: us,
[21:35:34] BOT: Mohammad
[21:35:34] BOT: Hashir!
[21:35:34] BOT: Have
[21:35:34] BOT: a
[21:35:34] BOT: great
[21:35:34] BOT: day!
